"player","team","pos","ask_price","source","end_time","owned_by","my_max_bid"
"Darder","Mallorca","MC","25625731","BOT","2025-08-21 05:50","",""
"Moi Gómez","Osasuna","DEL","1752048","The Doctor","2025-08-21 07:22","The Doctor",""
"Raúl Fernández","Alavés","POR","1000000","H    😎","2025-08-20 22:48","H    😎",""
"Marcos Llorente","Atlético de Madrid","DEF","35426483","BOT","2025-08-20 16:50","",""
"Iago Aspas","Celta de Vigo","DEL","31054816","BOT","2025-08-18 16:50","",""
"Fran Beltrán","Celta de Vigo","MC","11614914","Tomiyo","2025-08-20 20:16","Tomiyo",""
"Carreira","Celta de Vigo","DEF","10440883","The Doctor","2025-08-20 21:21","The Doctor",""
"Bakambu","Betis","DEL","1442180","BOT","2025-08-20 05:50","",""
"Idumbo","Sevilla","MC","1000000","Georgetto","2025-08-20 18:33","Georgetto",""
"Javi Muñoz","Getafe","MC","4556310","Tomiyo","2025-08-20 20:16","Tomiyo",""
"Moncayola","Osasuna","MC","17850000","Iván Fraile Cabrera","2025-08-18 17:49","Iván Fraile Cabrera",""
"Aimar Oroz","Osasuna","MC","29364056","BOT","2025-08-18 16:50","",""
"Batalla","Rayo Vallecano","POR","21592459","BOT","2025-08-20 05:50","",""
"Otorbi","Valencia","DEL","1000000","H    😎","2025-08-20 22:48","H    😎",""
"S. Altimira","Betis","MC","12391342","cotxoo 🥇","2025-08-20 20:31","cotxoo 🥇",""
"Sergio Lozano ","Levante","MC","1000000","BOT","2025-08-19 05:50","",""
"Bretones","Osasuna","DEF","1215243","BOT","2025-08-20 05:50","",""
"Logan Costa","Villarreal","DEF","1000000","BOT","2025-08-19 05:50","",""
"Santamaria","Valencia","MC","4230844","Tomiyo","2025-08-21 08:01","Tomiyo",""
"Morales","Levante","DEL","4046514","Georgetto","2025-08-20 18:33","Georgetto",""
"Carlos Romero","Espanyol","DEF","15722262","BOT","2025-08-19 16:50","",""
"Aidoo","Celta de Vigo","DEF","1000000","BOT","2025-08-19 16:50","",""
"Domingos Duarte","Getafe","DEF","1000000","BOT","2025-08-18 16:50","",""
"Espino","Rayo Vallecano","DEF","1000000","BOT","2025-08-20 16:50","",""
"Ruggeri","Atlético de Madrid","DEF","14341196","The Doctor","2025-08-21 07:31","The Doctor",""
"Carlos Martín","Atlético de Madrid","DEL","1000000","BOT","2025-08-19 05:50","",""
"Bellingham","Real Madrid","MC","69315373","BOT","2025-08-21 05:50","",""
"Cazorla","R. Oviedo","MC","16758000","Iván Fraile Cabrera","2025-08-18 17:48","Iván Fraile Cabrera",""
"Pablo Martínez","Levante","MC","17850000","Iván Fraile Cabrera","2025-08-18 17:48","Iván Fraile Cabrera",""
"Camello","Rayo Vallecano","DEL","1000000","cotxoo 🥇","2025-08-20 20:30","cotxoo 🥇",""
"Christantus Uche","Getafe","DEL","16273089","BOT","2025-08-20 05:50","",""
"Coba da Costa","Getafe","DEL","15850000","Iván Fraile Cabrera","2025-08-19 08:00","Iván Fraile Cabrera",""
"Raba","Valencia","MC","29938899","BOT","2025-08-19 16:50","",""
"Óscar Valentín","Rayo Vallecano","MC","2580000","Iván Fraile Cabrera","2025-08-18 19:00","Iván Fraile Cabrera",""
"Almada","Atlético de Madrid","MC","23557544","BOT","2025-08-21 05:50","",""
"Danjuma","Valencia","DEL","4147320","BOT","2025-08-20 16:50","",""
"Iranzo","Valencia","DEF","1000000","BOT","2025-08-20 16:50","",""
"Swedberg","Celta de Vigo","DEL","1000000","BOT","2025-08-19 05:50","",""
"Iker Benito","Osasuna","DEF","1000000","BOT","2025-08-18 16:50","",""
"Unai Gómez","Athletic de Bilbao","MC","1000000","Georgetto","2025-08-20 18:33","Georgetto",""
"Van de Beek","Girona","MC","1000000","BOT","2025-08-21 05:50","",""
"Marco Esteban","R. Oviedo","DEF","1000000","BOT","2025-08-19 16:50","",""
