"player","team","pos","buy_price","market_value","status","note"
"Dimitrievski","Valencia","POR","1250000","1000000","doubt",""
"Gayá","Valencia","DEF","24658885","22366338","",""
"Junior Firpo","Betis","DEF","16214441","14202200","",""
"Gueye","Villarreal","MC","0","20576778","",""
"Nacho Vidal","R. Oviedo","DEF","0","6360337","",""
"Starfelt","Celta de Vigo","DEF","0","10010334","injured",""
"Idumbo","Sevilla","MC","0","1000000","",""
"Guridi","Alavés","MC","0","8789201","",""
"Eyong","Villarreal","DEL","2365288","2067551","",""
"Morales","Levante","DEL","0","3949992","",""
"Pedro Díaz","Rayo Vallecano","MC","11326583","8829975","",""
"Fran García","Real Madrid","DEF","0","10046694","",""
"Pelayo","Rayo Vallecano","DEF","0","1000000","",""
"Brugué","Levante","DEL","5200000","3442253","",""
"Gavi","Barcelona","MC","0","10880654","",""
"Areso","Athletic de Bilbao","DEF","23096582","21792983","",""
"Unai Gómez","Athletic de Bilbao","MC","0","1000000","injured",""
