"player","team","pos","buy_price","market_value","status","note"
"Koke","Atlético de Madrid","MC","0","1998178","",""
"Raíllo","Mallorca","DEF","0","20266273","",""
"Raúl Fernández","Alavés","POR","0","1000000","",""
"Luiz Junior","Villarreal","POR","0","13880193","",""
"Brahim Díaz","Real Madrid","DEL","0","8956591","",""
"Agoumé","Sevilla","MC","0","10950620","",""
"Otorbi","Valencia","DEL","0","1000000","",""
"Pep Chavarría","Rayo Vallecano","DEF","0","12803532","",""
"Hugo Sotelo","Celta de Vigo","MC","0","1001302","",""
"Djené","Getafe","DEF","0","5600168","",""
"Carmona","Sevilla","DEF","0","10766855","",""
"André Almeida","Valencia","MC","0","5200150","",""
"Moussa Diarra","Alavés","DEF","0","1000000","",""
