"player","team","pos","buy_price","market_value","status","note"
"Remiro","Real Sociedad","POR","25000000","21069845","",""
"Sadiq Umar","Real Sociedad","DEL","0","1870163","",""
"Darder","Mallorca","MC","26500000","24494949","",""
"Omar","Espanyol","DEF","0","13881158","",""
"Dituro","Elche","POR","3000000","3178980","",""
"Jonny","Alavés","DEF","12350000","10684200","",""
"Sergi Cardona","Villarreal","DEF","25150000","28348654","",""
"Brais Méndez","Real Sociedad","MC","31350000","30931094","",""
"Juan Iglesias","Getafe","DEF","0","8772820","",""
"Tsygankov","Girona","DEL","26450000","21972283","",""
"Espino","Rayo Vallecano","DEF","1200000","1000000","",""
"Ronald Araújo","Barcelona","DEF","0","13352969","",""
"Luengo","R. Oviedo","DEF","0","2076272","",""
"Damián Rodríguez","Celta de Vigo","MC","0","1000000","",""
"Koyalipou","Levante","DEL","5000000","2480517","doubt",""
"Carles Aleñá","Alavés","MC","0","6137179","",""
