"player","team","pos","buy_price","market_value","status","note"
"Koundé","Barcelona","DEF","50063201","43401343","",""
"Moncayola","Osasuna","MC","0","10906195","",""
"Militao","Real Madrid","DEF","0","17697300","",""
"Rafa Mir","Sevilla","DEL","0","1000000","",""
"Rafa Marín","Villarreal","DEF","0","12985128","",""
"Cazorla","R. Oviedo","MC","0","4152790","",""
"Pablo Martínez","Levante","MC","0","7878974","",""
"Coba da Costa","Getafe","DEL","0","1000204","",""
"Óscar Valentín","Rayo Vallecano","MC","0","1000000","",""
"Sannadi","Athletic de Bilbao","DEL","0","6870592","",""
"Fede Valverde","Real Madrid","MC","86750000","72024201","",""
"Ionuț Radu","Celta de Vigo","POR","0","5761241","",""
