"player","team","pos","buy_price","market_value","status","note"
"Josan","Elche","MC","0","4143772","doubt",""
"Odriozola","Real Sociedad","DEF","0","1000000","",""
"Nyland ","Sevilla","POR","0","10642920","",""
"Mariano","Alavés","DEL","0","2659260","",""
"Diego Rico","Getafe","DEF","0","16034324","",""
"Guruzeta","Athletic de Bilbao","DEL","0","10535101","",""
"Vinícius","Real Madrid","DEL","97654321","78988436","",""
"Calebe","Alavés","MC","0","1065629","ok",""
"Aramburu","Real Sociedad","DEF","0","10668016","",""
"Gudelj","Sevilla","MC","0","2442332","",""
"Mouriño","Villarreal","DEF","0","11504121","",""
"Buchanan","Villarreal","DEL","0","3226224","",""
"Boayar","Elche","MC","0","1000000","",""
"Natan","Betis","DEF","0","8490610","",""
"Camavinga","Real Madrid","MC","0","18140312","doubt",""
"Iñaki Peña","Barcelona","POR","0","1264954","",""
