"player","team","pos","buy_price","market_value","status","note"
"Kike García","Espanyol","DEL","0","14043659","",""
"Iván Villar","Celta de Vigo","POR","0","1000000","",""
"Trejo","Rayo Vallecano","MC","0","1000000","",""
"Cabrera","Espanyol","DEF","0","10228518","",""
"Dani Calvo","R. Oviedo","DEF","0","3740314","",""
"Iván Martín ","Girona","MC","0","10929995","",""
"Alderete","Sunderland","DEF","0","12628335","",""
"Aitor Ruibal","Betis","MC","0","1078616","",""
"Valles","Betis","POR","0","16298476","",""
"Oriol Rey","Levante","MC","0","5316049","",""
"Luka Ilic","R. Oviedo","MC","0","6378982","",""
"Lenglet","Atlético de Madrid","DEF","0","2556390","",""
"Abel Ruiz","Girona","DEL","0","1000000","injured",""
"Diego Llorente","Betis","DEF","0","15659451","injured",""
