"player","team","pos","buy_price","market_value","status","note"
"Krejci","Girona","DEF","14210000","11644837","",""
"Moi Gómez","Osasuna","DEL","0","1856709","",""
"Unai López","Rayo Vallecano","MC","0","1662228","",""
"Galarreta","Athletic de Bilbao","MC","0","17991644","",""
"Carreira","Celta de Vigo","DEF","0","10581173","",""
"Unai Marrero","Real Sociedad","POR","0","1000000","",""
"Sibo","R. Oviedo","MC","0","2034488","",""
"Dolan","Espanyol","DEL","0","3343634","ok",""
"Tenaglia","Alavés","DEF","0","19286894","",""
"Guirao","Betis","MC","0","1000000","",""
"Ruggeri","Atlético de Madrid","DEF","0","13353561","",""
"Blanco","Alavés","MC","14210000","11643064","",""
"Matías Moreno","Levante","DEF","0","1000000","doubt",""
"Kiko Femenía","Getafe","DEF","0","4394240","",""
"Agirrezabala","Valencia","POR","0","13572268","",""
"Koyaliplou","Levante","DEL","0","3132891","doubt",""
