"player","team","pos","buy_price","market_value","status","note"
"Dani Rodríguez","Mallorca","MC","15376209","14813895","",""
"Alaba","Real Madrid","DEF","0","4229044","",""
"Toni Martínez","Alavés","DEL","0","1416493","",""
"Fran Beltrán","Celta de Vigo","MC","0","11720412","",""
"Pablo Marín","Real Sociedad","MC","0","3469231","",""
"Carvajal","Real Madrid","DEF","0","14201676","",""
"Juanmi","Getafe","DEL","0","1000000","doubt",""
"Javi Muñoz","Getafe","MC","0","4493885","",""
"Rosier","Osasuna","DEF","0","12138761","",""
"Santamaria","Valencia","MC","0","4766453","ok",""
"Sivera","Alavés","POR","0","15987437","",""
"Catena","Osasuna","DEF","0","13606275","",""
"Muriqi","Mallorca","DEL","34788888","29621507","",""
